ques_no,question,option1,option2,option3,option4,correct_option,marks_correct_ans,marks_wrong_ans,compulsory,marked choice,Total,Legend
1,What is the capital of India,Mumbai,Chennai,New Delhi,Kolkata,3,5,-1,n,1,3.0,Correct Choices
2,4+4 =,4,7,9,8,4,4,-1,y,1,7.0,Wrong Choices
3,Capital of France,Paris,Patna,Amhara,London,1,8,-2,n,1,0.0,Unattempted
4,Capital of England,Paris,Patna,Amhara,London,4,3,0,y,1,8.0,Marks Obtained
5,4x10/5-4=,4,7,9,8,1,5,-2,n,1,47.0,Total Quiz Marks
6,Currency of Japan,Rupee,Dhaka,Dollar,Yen,4,5,-1,y,1,,
7,8x9x5/10-20,18,17,16,15,3,5,-2,y,1,,
8,S.I unit of velocity is _,m/s,inch/s,mm/s,cm/s,1,4,-2,y,1,,
9,Currency of India,Dhaka,Dollar,Indian Dollar,Indian Rupee,4,3,-3,y,1,,
10,Synonym of ingenious,gifted,creative,clever,All of above,4,5,-1,y,1,,
